size,loading_sizes
32425452960.0,89379200000.0
17185944920.0,33195925728.0
2001980000.0,2400000000.0
1319500000.0,1680000000.0
15590400000.0,67720138752.0
1395240000.0,2563000000.0
13280628000.0,28456540000.0
9323280000.0,24000000000.0
1785600000.0,1920000000.0
21587913200.0,33782400000.0
1107073010.0,1728000000.0
71520587704.0,96462080000.0
17635000000.0,37426915008.0
1124801725.0,1728000000.0
1536377000.0,2404000000.0
11400000000.0,33195925728.0
4630874000.0,17313038400.0
3509172000.0,4752000000.0
50375520000.0,66833000000.0
75420000000.0,89369280000.0
1688740000.0,2400000000.0
30549750000.0,33195925728.0
1107073010.0,1728000000.0
36878648000.0,96462080000.0
1663200000.0,2400000000.0
9416820000.0,17313038400.0
32371932000.0,89379200000.0
21460260000.0,66833000000.0
32371932000.0,89379200000.0
32211452960.0,89379200000.0
2001980000.0,2400000000.0
17471608000.0,33195925728.0
55080000000.0,96462080000.0
3509172000.0,4752000000.0
89512500000.0,96462080000.0
44716000000.0,67493744640.0
58806000000.0,76351414272.0
1505199000.0,2208000000.0
70920000000.0,96462080000.0
12987185440.0,86998359000.0
1107073010.0,1728000000.0
1357200000.0,1440000000.0
11196819000.0,54880000000.0
933555899.0,1728000000.0
1764180000.0,2400000000.0
957000000.0,1152000000.0
67290384700.0,86998359000.0
57024000000.0,86998359000.0
29373750000.0,96462080000.0
14748818440.0,86998359000.0
69203400000.0,78948401152.0
42108695000.0,76351414272.0
20862600000.0,45080000000.0
26352340000.0,86998359000.0
2819532250.0,17313038400.0
2053404000.0,2400000000.0
52200000000.0,76351414272.0
9416820000.0,17313038400.0
5658912000.0,12831088200.0
58806000000.0,76351414272.0
1172915000.0,1728000000.0
45032154000.0,96462080000.0
40280242000.0,67493744640.0
1749120000.0,1920000000.0
28000000000.0,86998359000.0
3263148000.0,24000000000.0
816480000.0,1920000000.0
52349634000.0,76351414272.0
1176120000.0,1920000000.0
1648246000.0,17313038400.0
57528120000.0,67493744640.0
2211164000.0,2400000000.0
18705000000.0,96462080000.0
24984960000.0,67720138752.0
12769039800.0,33195925728.0
914508250.0,1920000000.0
8069424000.0,86998359000.0
4773750000.0,86998359000.0
1458240000.0,2236800000.0
52600000000.0,76351414272.0
22796980000.0,33195925728.0
39735000000.0,96462080000.0
5910000000.0,33195925728.0
24391510880.0,59019000000.0
17806800000.0,96462080000.0
90000000.0,135000000.0
542880000.0,1920000000.0
22104000000.0,76351414272.0
2464313000.0,3358928000.0
37310625000.0,86998359000.0
556404000.0,1920000000.0
1000000.0,40302500000.0
1163217000.0,2563000000.0
46666500000.0,67493744640.0
17391000000.0,33195925728.0
2104016000.0,3029000000.0
58791088340.0,76608000000.0
38823914000.0,67493744640.0
69558600000.0,96462080000.0
1538693400.0,2400000000.0
14951169841.0,96462080000.0
31709658000.0,67493744640.0
1391040000.0,1920000000.0
2364000000.0,17313038400.0
